CHL(mg/m^3),SST(°C),salinity(ppt),salinity(PSU),Wind_Speed_ERA5(m/s),Wind_Direction_ERA5(degree north),TP(mm),STD_200Km,STD_100Km,SST_STD_12months(°C),SST_STD_6months(°C),Salinity_STD_6months,Status_TR10,delta(200-100),Next_Month_CHL,Next_Month_Status
9.34975,26.35,16511.2069,36.5112069,0.545224045,-123.3018656,0.00051,0.4363,0.5367,1.660861296,0.649113177,56.38981149,Not Bloom,-0.1004,1.50661,NON_BLOOM
1.50661,25.565,16446.2,36.4462,1.185124594,122.9305085,0.00056,0.3335,0.4859,1.660438362,0.533218738,59.78276343,Not Bloom,-0.1524,0.9918,NON_BLOOM
0.9918,23.87,16413.56667,36.41356667,1.213184488,84.58923425,0.00141,0.4345,0.5299,1.589260616,1.084430214,58.17876731,Not Bloom,-0.0954,2.87026,NON_BLOOM
2.87026,23.37,16358.03704,36.35803704,2.133582241,32.8512321,0.00004,0.3693,0.4143,1.456466126,1.361605721,46.92693645,Not Bloom,-0.045,1.95168,NON_BLOOM
1.95168,24.64,16443.76667,36.44376667,2.441149061,53.53181985,0.00221,0.2924,0.2631,1.366009179,1.33409067,46.81894329,Not Bloom,0.0293,1.91245,NON_BLOOM
1.91245,26.03,16454.89655,36.45489655,2.024540548,50.42974656,0.00024,0.3854,0.4497,1.352594472,1.100069758,46.07291883,Not Bloom,-0.0643,0.82366,NON_BLOOM
0.82366,28.61,16601.7,36.6017,2.484703114,67.07648421,0,0.3069,0.3427,1.527722979,1.720033309,73.9591428,Not Bloom,-0.0358,,NON_BLOOM
,,,20,,,,,,,,,,,,
,,,20,,,,,,,,,,,,
,,,20,,,,,,,,,,,4.19649,
4.19649,27.065,16409.72414,36.40972414,3.129940425,13.01786489,0.00002,0.5835,0.6622,1.600646354,0.876293092,73.25616429,Not Bloom,-0.0787,20.5988,BLOOM
20.5988,27.515,16432.66667,36.43266667,2.026052419,55.40394224,0,0.5106,0.6452,1.620003161,0.618391731,75.86129709,Bloom,-0.1346,6.44199,NON_BLOOM
6.44199,26.63,16525.31034,36.52531034,1.865816523,23.14758793,0.00018,0.3616,0.4844,1.622240124,0.556604288,61.90352444,Not Bloom,-0.1228,3.48956,NON_BLOOM
3.48956,25.31,16561.86667,36.56186667,0.554630819,173.7344726,0.00307,0.4096,0.5161,1.633962464,0.866365733,53.70116377,Not Bloom,-0.1065,1.88688,NON_BLOOM
1.88688,24.125,16584.46667,36.58446667,1.376683404,70.66198147,0.00046,0.3779,0.4762,1.60326636,1.163019299,67.36412524,Not Bloom,-0.0983,4.98122,NON_BLOOM
4.98122,23.645,16547.2963,36.5472963,1.249572797,6.426404783,0.00235,0.3366,0.417,1.56199503,1.46496587,65.69659267,Not Bloom,-0.0804,2.46249,NON_BLOOM
2.46249,24.785,16635.16667,36.63516667,2.428308564,75.29460583,0.00057,0.3313,0.3311,1.549079196,1.357249056,61.82902856,Not Bloom,0.0002,1.70584,NON_BLOOM
1.70584,25.725,16548.62069,36.54862069,3.420628137,58.59613668,0,0.63,0.6169,1.557115166,0.993179518,35.2186129,Not Bloom,0.0131,0.92776,NON_BLOOM
0.92776,28.15,16595.56667,36.59556667,2.501699336,56.54021201,0,0.5659,0.7142,1.505972139,1.454160697,30.76913933,Not Bloom,-0.1483,,NON_BLOOM
,,,20,,,,,,,,,,,,
,,,20,,,,,,,,,,,,
,,,20,,,,,,,,,,,40.88516,
40.88516,27.03,16385.55172,36.38555172,2.547295914,-0.258425921,0,0.6167,0.745,1.672020152,1.032330158,214.9129162,Bloom,-0.1283,22.0358,BLOOM
22.0358,27.385,16449,36.449,1.949843198,34.85132431,0.00037,0.4934,0.6117,1.66577497,0.61833558,210.8299995,Bloom,-0.1183,6.04168,NON_BLOOM
